Computer name	Policy compliance	Up to date	Alerts and errors	On-access	Firewall enabled	Application control on-access	Data control scanning	Device control scanning	Tamper protection	Patch assessment	Web control status	Group	
ECEVENTDIR-PC	Same as policy	Yes	Adware or PUA detected	Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECBOX-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECAVVIDEO-PC	Same as policy	Not since 8/30/2015 8:49:33 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI	
ECADMIN-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECADMINASST-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECADIRADM2-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECACCTMGR-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI	
ECACCTASST1-PC	Same as policy	Not since 9/16/2015 3:10:35 AM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECACCTAR1-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECACCTAP1-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
CSLAT36410	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
AQSUP2A-PC	Awaiting policy transfer	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
AQCORD2-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
